Publishers,Game,Metascore
Telltale,Zero Escape: Zero Time Dilemma,85.0
Perfect World Entertainment,Mark of the Ninja,85.0
Robot Entertainment,Hacknet,85.0
Yacht Club Games,Simutrans,85.0
Techland Publishing,Sniper Elite 4,85.0
Yacht Club Games,Singularity,85.0
Devolver Digital,Assassin's Creed Revelations,85.0
CD PROJEKT RED,The Tower Of Elements,85.0
Crytek,Days Gone,85.0
"2K, Feral Interactive (Mac)",Prey,85.0
Deca Games,Lord of the Rings: War in the North,85.0
Devolver Digital,Heavy Bullets,85.0
inXile Entertainment,Razenroth,85.0
Paradox Interactive,Tom Clancy’s The Division,85.0
"CAPCOM Co., Ltd.",METAL GEAR RISING: REVENGEANCE,85.0
Adult Swim Games,Magicae Mundi,85.0
THQ Nordic,Titanfall 2,85.0
Kunos Simulazioni,Ancestors Legacy,85.0
Coffee Stain Publishing,Abandonment,85.0
Ubisoft,Bayonetta,85.0
TaleWorlds Entertainment,Gothic 3,85.0
